date;time;sale_point_number;operation_number;sum_operation
02.06.2018;14:00;office8;164;81258.16
05.08.2018;13:00;office1;165;13895.22
06.02.2018;12:00;office10;166;91964.49
12.09.2018;11:00;office11;167;21048.29
14.02.2018;01:00;office9;168;61489.28
02.01.2018;14:00;office8;169;41769.42
17.04.2018;01:00;office6;170;74170.47
19.06.2018;19:00;office6;171;61325.4
15.03.2018;16:00;office8;172;41571.18
11.12.2018;07:00;office9;173;14552.15
29.04.2018;14:00;office8;174;62262.23
25.07.2018;21:00;office1;175;64805.42
18.12.2018;20:00;office11;176;15546.48
22.01.2018;06:00;office7;177;82857.41
20.02.2018;18:00;office12;178;10265.47
05.09.2018;07:00;office1;179;30408.31
19.06.2018;12:00;office2;180;25244.13
06.04.2018;09:00;office4;181;53383.13
11.05.2018;08:00;office13;182;71480.34
29.04.2018;02:00;office9;183;70283.13
25.01.2018;08:00;office5;184;62774.34
18.06.2018;14:00;office6;185;29984.39
08.07.2018;23:00;office10;186;53761.33
21.09.2018;13:00;office10;187;20704.26
20.10.2018;21:00;office4;188;74901.45
15.02.2018;19:00;office5;189;48984.4
14.11.2018;02:00;office12;190;33081.42
29.03.2018;19:00;office7;191;18661.35
04.10.2018;05:00;office10;192;76952.22
24.09.2018;00:00;office12;193;67390.46
26.09.2018;01:00;office8;194;17322.34
05.01.2018;08:00;office5;195;13376.41
07.06.2018;20:00;office1;196;56615.26
03.04.2018;08:00;office2;197;16245.41
03.03.2018;23:00;office7;198;42608.49
06.09.2018;15:00;office10;199;90734.44
28.02.2018;20:00;office12;200;26074.26
23.01.2018;04:00;office11;201;31010.17
10.12.2018;10:00;office9;202;89224.41
08.09.2018;15:00;office2;203;57505.19
30.12.2018;09:00;office15;204;49616.36
09.06.2018;16:00;office16;205;14384.29
20.02.2018;06:00;office5;206;56721.48
10.11.2018;17:00;office2;207;79187.35
04.03.2018;13:00;office16;208;97919.3
21.10.2018;04:00;office2;209;48092.13
21.03.2018;17:00;office2;210;92357.37
16.03.2018;20:00;office14;211;74793.15
29.03.2018;21:00;office12;212;12392.15
22.11.2018;04:00;office10;213;53786.46
20.01.2018;08:00;office4;214;74286.47
18.11.2018;01:00;office15;215;63898.45
11.05.2018;02:00;office1;216;37246.25
20.07.2018;09:00;office8;217;64911.19
29.11.2018;09:00;office1;218;28934.19
18.12.2018;07:00;office3;219;56834.32
06.11.2018;02:00;office11;220;54916.46
22.07.2018;21:00;office4;221;55805.33
18.01.2018;07:00;office8;222;55869.18
18.12.2018;09:00;office2;223;20874.24
10.05.2018;05:00;office1;224;41415.48
21.02.2018;18:00;office11;225;93153.48
26.05.2018;02:00;office5;226;28770.16
03.02.2018;03:00;office7;227;64568.25
28.03.2018;08:00;office9;228;45319.18
14.10.2018;12:00;office13;229;36938.34
03.11.2018;20:00;office6;230;66548.28
22.05.2018;16:00;office3;231;52777.32
14.04.2018;21:00;office14;232;41897.29
27.03.2018;11:00;office10;233;48529.23
22.02.2018;13:00;office3;234;31164.25
21.05.2018;23:00;office11;235;83832.41
29.12.2018;17:00;office6;236;62333.2
17.10.2018;10:00;office2;237;12688.46
18.07.2018;16:00;office3;238;32332.3
04.03.2018;09:00;office8;239;83892.26
02.02.2018;04:00;office8;240;80722.15
15.01.2018;19:00;office10;241;48243.32
20.05.2018;12:00;office16;242;21152.39
25.08.2018;21:00;office3;243;48836.13
01.02.2018;21:00;office3;244;35769.15
04.07.2018;09:00;office15;245;32638.2
21.04.2018;03:00;office2;246;40957.31
09.06.2018;21:00;office16;247;12903.43
24.09.2018;11:00;office14;248;48363.37
29.12.2018;12:00;office6;249;11632.21
21.07.2018;22:00;office8;250;64095.22
17.01.2018;06:00;office11;251;24831.42
12.08.2018;05:00;office3;252;21124.13
25.05.2018;16:00;office5;253;21741.2
28.10.2018;15:00;office16;254;10006.14
05.10.2018;11:00;office16;255;73062.19
02.12.2018;04:00;office6;256;51151.31
25.10.2018;22:00;office3;257;63466.16
13.10.2018;22:00;office11;258;93078.39
20.05.2018;19:00;office7;259;83595.25
15.03.2018;11:00;office14;260;21766.12
06.05.2018;09:00;office3;261;20298.37
11.06.2018;21:00;office3;262;43007.3
14.11.2018;22:00;office4;263;77224.21
01.09.2018;22:00;office5;264;96105.15
14.03.2018;10:00;office12;265;70287.43
02.06.2018;04:00;office5;266;45328.27
16.02.2018;12:00;office12;267;11836.34
18.06.2018;00:00;office2;268;27881.29
09.09.2018;21:00;office12;269;75607.22
03.11.2018;21:00;office12;270;84022.25
08.01.2018;23:00;office13;271;28534.47
24.03.2018;02:00;office15;272;31154.46
12.05.2018;03:00;office8;273;82157.38
20.10.2018;17:00;office6;274;55641.3
14.03.2018;19:00;office9;275;36693.16
04.12.2018;11:00;office7;276;22949.17
19.05.2018;22:00;office2;277;79783.32
19.07.2018;01:00;office9;278;14888.3
28.05.2018;05:00;office2;279;57749.23
18.02.2018;11:00;office10;280;47700.17
17.06.2018;15:00;office15;281;99876.26
05.11.2018;06:00;office6;282;19508.21
25.11.2018;17:00;office11;283;69140.4
30.03.2018;07:00;office9;284;56424.12
31.10.2018;19:00;office5;285;36822.39
11.03.2018;02:00;office14;286;93602.33
11.07.2018;19:00;office1;287;64225.5
19.09.2018;01:00;office14;288;73155.41
30.04.2018;18:00;office14;289;66089.18
12.04.2018;20:00;office5;290;30423.24
06.01.2018;15:00;office12;291;87256.47
10.11.2018;05:00;office10;292;75186.3
25.04.2018;15:00;office12;293;90779.29
11.03.2018;00:00;office4;294;27893.5
30.10.2018;17:00;office4;295;51708.36
18.01.2018;13:00;office1;296;14771.14
15.01.2018;10:00;office3;297;37690.23
14.09.2018;13:00;office13;298;13743.35
25.11.2018;14:00;office11;299;63061.13
21.01.2018;13:00;office3;300;91051.16
09.12.2018;17:00;office4;301;20546.4
05.06.2018;13:00;office7;302;92811.47
03.12.2018;16:00;office12;303;98795.33
17.06.2018;15:00;office6;304;73792.37
15.07.2018;11:00;office7;305;21468.38
31.07.2018;01:00;office12;306;95308.43
31.07.2018;22:00;office13;307;12824.18
30.12.2018;16:00;office9;308;48719.42
24.08.2018;12:00;office2;309;53444.12
03.11.2018;10:00;office13;310;37106.39
10.03.2018;18:00;office4;311;52332.47
02.03.2018;10:00;office11;312;40483.32
26.04.2018;20:00;office2;313;33041.21
06.06.2018;09:00;office5;314;81552.28
20.12.2018;02:00;office8;315;74671.4
16.08.2018;08:00;office15;316;29648.48
12.11.2018;23:00;office1;317;90871.49
07.06.2018;07:00;office7;318;56073.4
01.06.2018;07:00;office12;319;74818.18
21.11.2018;13:00;office10;320;83442.14
19.05.2018;22:00;office5;321;11132.22
17.09.2018;06:00;office7;322;74312.27
11.07.2018;01:00;office14;323;84136.26
19.06.2018;14:00;office13;324;65895.2
09.04.2018;13:00;office15;325;40021.47
30.08.2018;22:00;office4;326;56145.14
13.08.2018;00:00;office11;327;34785.35
08.06.2018;19:00;office12;328;24484.21
15.08.2018;03:00;office4;329;56934.24
13.06.2018;17:00;office11;330;84406.37
30.12.2018;04:00;office8;331;22654.38
09.01.2018;01:00;office12;332;21658.23
20.08.2018;14:00;office5;333;55265.14
17.09.2018;00:00;office16;334;19027.23
10.10.2018;07:00;office12;335;98800.29
21.09.2018;03:00;office7;336;94952.31
30.09.2018;12:00;office2;337;29854.34
08.05.2018;19:00;office13;338;38779.22
18.12.2018;22:00;office4;339;26354.14
17.10.2018;04:00;office11;340;14548.23
08.07.2018;18:00;office5;341;19440.22
28.12.2018;13:00;office16;342;31636.13
04.06.2018;20:00;office4;343;67572.14
04.06.2018;15:00;office16;344;42303.29
10.01.2018;09:00;office5;345;80552.46
09.02.2018;14:00;office3;346;82861.15
05.05.2018;23:00;office14;347;72355.17
16.08.2018;16:00;office16;348;95683.44
16.10.2018;12:00;office9;349;15160.3
20.06.2018;08:00;office5;350;86073.31
04.06.2018;16:00;office4;351;21498.42
13.09.2018;16:00;office12;352;33139.47
18.03.2018;12:00;office3;353;72893.43
09.09.2018;10:00;office3;354;54499.23
13.10.2018;15:00;office14;355;10269.34
30.10.2018;13:00;office1;356;48631.42
16.07.2018;12:00;office9;357;60546.23
22.03.2018;07:00;office9;358;20093.29
06.09.2018;13:00;office8;359;59525.5
11.09.2018;07:00;office7;360;71427.35
07.10.2018;13:00;office1;361;72652.21
22.05.2018;08:00;office15;362;73791.27
11.04.2018;08:00;office2;363;54524.15
22.11.2018;04:00;office9;364;99175.33
24.09.2018;03:00;office16;365;81902.19
24.05.2018;06:00;office2;366;61963.31
18.10.2018;10:00;office1;367;17823.25
15.11.2018;21:00;office6;368;31577.42
22.05.2018;06:00;office11;369;99138.29
05.09.2018;17:00;office1;370;98909.32
28.03.2018;19:00;office3;371;37828.24
19.01.2018;07:00;office1;372;64928.26
11.02.2018;10:00;office14;373;48946.13
06.03.2018;20:00;office9;374;94733.4
27.07.2018;02:00;office11;375;70348.44
07.09.2018;19:00;office6;376;18653.17
31.08.2018;07:00;office9;377;24507.3
06.11.2018;14:00;office12;378;98066.44
22.02.2018;16:00;office5;379;27713.26
10.11.2018;22:00;office15;380;12247.18
19.10.2018;02:00;office16;381;10527.22
30.06.2018;02:00;office6;382;61593.44
15.11.2018;22:00;office7;383;97255.47
27.11.2018;02:00;office8;384;10800.17
14.04.2018;10:00;office2;385;97480.14
17.06.2018;08:00;office9;386;64443.3
10.10.2018;10:00;office10;387;98905.21
24.04.2018;11:00;office16;388;48707.24
11.06.2018;04:00;office12;389;23552.26
07.10.2018;19:00;office12;390;12135.36
03.10.2018;22:00;office2;391;16950.21
15.07.2018;19:00;office5;392;84342.21
14.03.2018;15:00;office2;393;36090.27
22.06.2018;17:00;office10;394;85175.39
16.09.2018;00:00;office2;395;63764.22
07.12.2018;22:00;office4;396;60584.29
10.06.2018;09:00;office16;397;37447.35
23.01.2018;06:00;office7;398;82977.35
20.07.2018;03:00;office7;399;13409.34
29.07.2018;06:00;office2;400;25276.34
05.04.2018;16:00;office4;401;78014.37
09.08.2018;01:00;office3;402;82382.41
08.01.2018;12:00;office7;403;72404.23
25.02.2018;08:00;office10;404;55039.49
30.06.2018;02:00;office3;405;86531.39
25.01.2018;21:00;office16;406;51411.2
09.10.2018;14:00;office11;407;66112.16
17.10.2018;06:00;office10;408;80477.15
31.07.2018;06:00;office9;409;99380.49
21.01.2018;01:00;office11;410;35539.25
12.12.2018;23:00;office14;411;64811.24
05.12.2018;11:00;office4;412;31829.22
05.04.2018;08:00;office6;413;48066.13
27.11.2018;00:00;office16;414;47354.2
03.06.2018;08:00;office9;415;85412.32
25.08.2018;02:00;office16;416;29455.32
30.08.2018;09:00;office16;417;45602.42
06.07.2018;18:00;office12;418;92641.26
09.11.2018;09:00;office16;419;66906.23
18.05.2018;08:00;office7;420;36291.48
02.08.2018;20:00;office11;421;32298.14
17.01.2018;01:00;office3;422;22134.44
01.05.2018;11:00;office4;423;89952.35
16.03.2018;05:00;office1;424;42236.48
24.02.2018;02:00;office2;425;30360.34
12.04.2018;05:00;office14;426;92743.29
03.09.2018;21:00;office9;427;63396.2
23.12.2018;22:00;office16;428;74056.46
22.05.2018;07:00;office7;429;96815.23
20.03.2018;09:00;office2;430;95255.26
30.01.2018;15:00;office5;431;77757.48
29.09.2018;22:00;office10;432;23017.33
13.12.2018;04:00;office2;433;18482.21
24.04.2018;04:00;office16;434;34267.16
06.09.2018;10:00;office7;435;27982.48
18.12.2018;01:00;office7;436;27831.24
07.07.2018;03:00;office9;437;78667.46
14.06.2018;16:00;office10;438;44578.18
24.07.2018;22:00;office4;439;78365.36
11.05.2018;07:00;office12;440;35077.32
14.12.2018;21:00;office2;441;60477.27
22.08.2018;06:00;office4;442;52173.12
12.08.2018;18:00;office12;443;75148.5
25.10.2018;23:00;office2;444;65801.29
07.07.2018;07:00;office4;445;96706.26
22.02.2018;08:00;office16;446;56291.14
09.04.2018;00:00;office14;447;10291.19
10.12.2018;01:00;office14;448;97326.28
27.05.2018;08:00;office8;449;60093.16
28.05.2018;22:00;office7;450;60394.23
13.03.2018;22:00;office5;451;53772.17
23.05.2018;11:00;office11;452;31400.38
09.07.2018;14:00;office4;453;90425.41
07.05.2018;18:00;office16;454;39987.42
04.08.2018;06:00;office6;455;65551.43
06.05.2018;14:00;office13;456;26808.32
28.05.2018;22:00;office14;457;17221.3
14.01.2018;20:00;office8;458;49160.41
29.11.2018;14:00;office13;459;14784.49
11.06.2018;14:00;office4;460;47759.49
09.08.2018;15:00;office13;461;83417.3
10.09.2018;07:00;office15;462;17665.18
26.01.2018;09:00;office15;463;50095.47
19.05.2018;13:00;office16;464;79365.16
02.10.2018;08:00;office7;465;24878.29
08.03.2018;09:00;office3;466;27089.33
13.06.2018;05:00;office16;467;97448.3
18.09.2018;07:00;office3;468;72864.42
17.04.2018;04:00;office15;469;52301.12
16.06.2018;07:00;office8;470;61029.33
12.12.2018;11:00;office9;471;51797.29
31.12.2019;00:00;office8;472;91779.29
14.12.2018;14:00;office16;473;93099.21
11.08.2018;15:00;office9;474;85016.43
14.09.2018;02:00;office3;475;62778.47
17.07.2018;18:00;office14;476;67523.35
30.09.2018;07:00;office8;477;65508.29
05.02.2018;04:00;office1;478;65139.36
14.04.2018;04:00;office11;479;21115.48
09.09.2018;23:00;office6;480;36047.5
09.07.2018;01:00;office10;481;98376.13
04.02.2018;13:00;office9;482;83467.31
25.02.2018;23:00;office3;483;17939.46
06.11.2018;05:00;office4;484;48920.15
12.08.2018;16:00;office5;485;25017.18
02.07.2018;06:00;office6;486;83771.42
24.04.2018;21:00;office4;487;40417.2
01.09.2018;21:00;office2;488;82179.14
13.12.2018;11:00;office13;489;82872.17
08.04.2018;06:00;office12;490;69795.21
31.07.2018;20:00;office4;491;46181.21
17.11.2018;20:00;office16;492;94070.17
30.03.2018;15:00;office11;493;92983.24
11.09.2018;23:00;office5;494;13133.14
16.05.2018;07:00;office8;495;34875.49
26.01.2018;02:00;office4;496;77700.12
07.01.2018;04:00;office16;497;29782.48
08.02.2018;18:00;office2;498;26552.44
25.06.2018;20:00;office4;499;97547.46
27.07.2018;13:00;office11;500;20724.14
16.09.2018;15:00;office7;501;91343.21
29.08.2018;00:00;office15;502;40683.27
16.11.2018;20:00;office9;503;10167.5
16.04.2018;23:00;office15;504;51885.21
04.05.2018;06:00;office12;505;60686.2
01.05.2018;18:00;office11;506;86373.3
03.09.2018;06:00;office1;507;82038.4
17.06.2018;11:00;office13;508;97422.14
29.07.2018;08:00;office14;509;29645.16
22.06.2018;17:00;office13;510;46873.39
27.07.2018;20:00;office9;511;22122.29
19.11.2018;12:00;office8;512;31280.15
11.06.2018;18:00;office2;513;90309.38
19.12.2018;07:00;office2;514;58894.35
11.03.2018;05:00;office12;515;47389.28
16.12.2018;14:00;office5;516;53493.31
21.12.2018;18:00;office11;517;24401.25
21.11.2018;21:00;office14;518;92412.4
20.11.2018;09:00;office11;519;61959.23
27.04.2018;12:00;office8;520;56144.23
13.08.2018;00:00;office8;521;35259.12
17.05.2018;02:00;office4;522;59753.15
18.06.2018;15:00;office10;523;52396.49
03.10.2018;16:00;office3;524;77213.37
13.07.2018;16:00;office7;525;53599.19
14.04.2018;10:00;office3;526;33236.35
19.03.2018;03:00;office8;527;22984.36
10.08.2018;06:00;office8;528;62988.49
07.04.2018;02:00;office10;529;63155.4
14.02.2018;05:00;office12;530;39653.16
04.02.2018;08:00;office13;531;70802.18
08.03.2018;02:00;office12;532;83888.34
27.02.2018;02:00;office2;533;27251.21
22.02.2018;20:00;office16;534;63115.3
10.11.2018;03:00;office3;535;51045.41
04.08.2018;20:00;office10;536;74433.37
01.07.2018;16:00;office13;537;24726.17
25.07.2018;15:00;office11;538;95766.47
17.02.2018;08:00;office10;539;42979.17
18.07.2018;11:00;office1;540;44921.36
25.06.2018;09:00;office5;541;83018.14
04.09.2018;02:00;office9;542;16189.34
25.01.2018;10:00;office16;543;37652.5
08.09.2018;07:00;office12;544;30182.19
09.08.2018;20:00;office7;545;49907.2
16.12.2018;11:00;office8;546;18230.32
29.05.2018;23:00;office6;547;53933.44
04.09.2018;14:00;office4;548;54008.26
29.09.2018;14:00;office15;549;52374.31
17.09.2018;14:00;office4;550;13306.23
14.06.2018;18:00;office12;551;54367.16
10.01.2018;01:00;office14;552;29160.29
27.10.2018;22:00;office8;553;98917.39
15.07.2018;09:00;office4;554;78417.2
11.04.2018;07:00;office15;555;93025.16
08.10.2018;20:00;office2;556;47573.18
10.09.2018;18:00;office11;557;79214.21
16.02.2018;00:00;office10;558;97115.47
23.05.2018;10:00;office2;559;38970.46
14.09.2018;09:00;office8;560;52049.47
15.10.2018;00:00;office6;561;58138.44
21.02.2018;03:00;office3;562;41151.27
28.03.2018;09:00;office14;563;33862.34
26.08.2018;05:00;office13;564;41672.28
02.12.2018;22:00;office10;565;14996.25
13.11.2018;03:00;office5;566;96471.3
31.01.2018;22:00;office5;567;23152.24
10.02.2018;01:00;office9;568;47119.14
13.09.2018;19:00;office4;569;62148.12
16.02.2018;08:00;office15;570;84492.27
03.06.2018;06:00;office7;571;39631.12
02.11.2018;18:00;office1;572;83413.19
15.10.2018;03:00;office9;573;54763.23
15.07.2018;14:00;office5;574;92477.13
13.11.2018;20:00;office14;575;21302.47
05.06.2018;02:00;office14;576;82131.26
23.06.2018;07:00;office4;577;54144.47
03.01.2018;19:00;office11;578;43196.22
06.12.2018;22:00;office16;579;54561.35
12.02.2018;13:00;office8;580;59441.21
29.03.2018;02:00;office1;581;55252.31
27.12.2018;02:00;office5;582;24457.19
07.11.2018;15:00;office11;583;29607.33
10.07.2018;13:00;office6;584;67203.41
23.06.2018;21:00;office3;585;63230.43
11.04.2018;19:00;office4;586;27231.12
13.12.2018;12:00;office9;587;52860.3
17.07.2018;06:00;office11;588;89879.47
04.11.2018;20:00;office3;589;89780.22
05.02.2018;09:00;office13;590;15110.43
05.07.2018;23:00;office8;591;64066.25
14.11.2018;02:00;office14;592;97274.16
24.11.2018;15:00;office1;593;30513.38
19.10.2018;11:00;office14;594;60937.37
08.12.2018;15:00;office8;595;10160.12
25.01.2018;23:00;office13;596;89075.42
21.08.2018;03:00;office1;597;43327.48
14.05.2018;04:00;office4;598;33889.33
11.06.2018;13:00;office4;599;90361.14
17.08.2018;20:00;office14;600;21305.34
25.08.2018;06:00;office3;601;35978.21
19.03.2018;19:00;office13;602;27269.45
22.11.2018;09:00;office5;603;94690.31
07.08.2018;08:00;office10;604;62720.19
16.11.2018;14:00;office5;605;21764.29
17.06.2018;20:00;office11;606;64123.24
05.01.2018;11:00;office10;607;70902.12
30.01.2018;11:00;office10;608;37362.46
17.03.2018;18:00;office6;609;54779.21
21.07.2018;13:00;office3;610;18814.16
03.03.2018;03:00;office1;611;46052.39
14.09.2018;10:00;office9;612;22606.19
06.03.2018;23:00;office10;613;35361.5
16.06.2018;01:00;office5;614;53471.26
17.09.2018;09:00;office1;615;72928.5
07.04.2018;23:00;office12;616;19778.4
15.10.2018;05:00;office9;617;66313.33
03.01.2018;16:00;office7;618;42856.3
11.01.2018;21:00;office11;619;69378.37
07.07.2018;15:00;office3;620;97608.12
22.12.2018;00:00;office13;621;15290.12
08.10.2018;05:00;office4;622;87781.14
28.09.2018;08:00;office9;623;62884.4
29.03.2018;11:00;office15;624;95942.47
25.07.2018;15:00;office6;625;34606.18
16.12.2018;07:00;office12;626;50392.25
25.07.2018;01:00;office13;627;47946.15
24.09.2018;15:00;office7;628;82469.19
13.05.2018;00:00;office15;629;30839.48
20.06.2018;08:00;office4;630;42529.42
10.09.2018;02:00;office8;631;49996.41
08.02.2018;22:00;office7;632;32624.22
17.03.2018;02:00;office15;633;11565.34
01.02.2018;01:00;office7;634;77548.41
12.05.2018;01:00;office5;635;97881.48
07.12.2018;20:00;office7;636;24175.35
03.04.2018;09:00;office7;637;55060.42
09.02.2018;21:00;office9;638;82452.15
16.04.2018;23:00;office8;639;88206.15
26.08.2018;18:00;office9;640;37164.38
10.10.2018;14:00;office11;641;95349.14
18.04.2018;17:00;office13;642;30228.49
22.10.2018;19:00;office5;643;76425.26
03.09.2018;22:00;office4;644;66314.39
05.12.2018;21:00;office13;645;50104.24
23.03.2018;10:00;office4;646;59169.32
19.09.2018;00:00;office1;647;45022.31
04.07.2018;09:00;office3;648;22689.3
30.07.2018;13:00;office7;649;74026.4
09.12.2018;23:00;office16;650;66335.41
14.07.2018;11:00;office9;651;43681.36
18.01.2018;23:00;office12;652;70856.22
16.10.2018;11:00;office4;653;16032.13
01.08.2018;19:00;office7;654;19859.35
10.05.2018;23:00;office7;655;25698.12
18.12.2018;10:00;office3;656;65110.4
11.08.2018;00:00;office15;657;42214.37
26.04.2018;13:00;office16;658;61359.38
17.07.2018;09:00;office12;659;43051.46
24.08.2018;23:00;office6;660;89828.36
18.03.2018;14:00;office2;661;55918.41
09.06.2018;07:00;office3;662;89883.36
02.12.2018;03:00;office8;663;46937.27
19.09.2018;23:00;office1;664;56733.44
